address,category,details,id,lat,lng,location,name,numReviews,originalId,polarity,reviews,subCategory,Sub,vader
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186757,186757,42.814130894449,10.32916927,Tuscany,Il baretto,3.0,4c76adddff1fb60cb2a6f9a7,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186757,Bar,Nightlife,0.39
Pontile Comandante G. Massimo,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186759,186759,42.81364777891,10.323272789732,Tuscany,Bar Piccadilly,1.0,4deb8fab18386283a401c715,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186759,Bar,Nightlife,0.39
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186770,186770,42.813989267777,10.331762757749,Tuscany,Caffe La Vela,1.0,4e2f3cb8d4c058fdbef1efc4,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186770,Bar,Nightlife,0.39
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186794,186794,42.815031718556,10.331653133942,Tuscany,Bar L'angolo,1.0,4bfa65f95efe2d7ff17e6d34,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186794,Bar,Nightlife,0.39
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186850,186850,42.745579697869,10.377701395992,Tuscany,Fandango,4.0,4c083a037e3fc9289c03f082,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186850,Wine Bar,Nightlife,0.39
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186862,186862,42.745514829373,10.378578838428,Tuscany,BarDotto,1.0,4fe9c82ce4b0ccd54207b7a4,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186862,Bar,Nightlife,0.39
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186892,186892,42.722335836197,10.377503972619,Tuscany,Innamorata Bar,1.0,4dee0fb2fa76b21ed9916ff0,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186892,Bar,Nightlife,0.39
Via Ricasoli 24,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186906,186906,42.76619,10.398383,Tuscany,Curandero,7.0,4de92c43c65b72347a230cd5,9.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186906,Cocktail Bar,Nightlife,0.39
Via Felice Cavallotti 13,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186907,186907,42.766221745784,10.397813419529,Tuscany,Barkollo,4.0,4e441933a809d4ed1bb80a98,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186907,Cocktail Bar,Nightlife,0.0
Porto Azzurro,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186911,186911,42.763413,10.399996,Tuscany,DezLaif,3.0,517ea50fe4b08338dfaf5737,3.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186911,Bar,Nightlife,0.0
Vicolo Montebello 2,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186917,186917,42.766067255572,10.398548440458,Tuscany,Altaluna,2.0,4de02a15ae605835c44c73ab,3.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186917,Cocktail Bar,Nightlife,0.0
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186918,186918,42.763428,10.400113,Tuscany,Dez Laif,1.0,4ffb5691e4b07354dd982418,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186918,Cocktail Bar,Nightlife,0.0
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186922,186922,42.76550102,10.39705643,Tuscany,Bar Casella,2.0,4c7017e0b3ce224bbebe72c6,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186922,Cocktail Bar,Nightlife,0.0
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186981,186981,42.814835,10.428093,Tuscany,Bar Jolly,1.0,4db3279293a017099dbd99d3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186981,Bar,Nightlife,0.0
P.zza Vittorio Emanuele II,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186983,186983,42.815476,10.427103,Tuscany,Bar Centrale,1.0,4d0285dd0e49721ebb5d657f,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186983,Bar,Nightlife,0.0
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=187015,187015,43.051717,9.836501,Tuscany,Bar Il Porto,1.0,4c38e1440a71c9b6e68641c9,0.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=187015,Bar,Nightlife,0.0
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=187016,187016,43.047597104767,9.8421809309107,Tuscany,Barracuda,1.0,4fdcfa36e4b07b2b86b65d44,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=187016,Cocktail Bar,Nightlife,0.0
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=187033,187033,44.381664276123,9.8609075546265,Tuscany,Caffetteria Prelibo,1.0,5219aca911d247f3c595f5ac,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=187033,Bar,Nightlife,0.0
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=187038,187038,44.37966787586,9.8637683605757,Tuscany,country club,1.0,51dda3c9498e05c2ef3821a6,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=187038,Cocktail Bar,Nightlife,0.0
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=187061,187061,44.376808173024,9.881767489258,Tuscany,Bar Orchidea,1.0,51fcaf44498e5c6a9798bfe9,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=187061,Bar,Nightlife,0.0
Piazza Del Duomo,attraction,http://tour-pedia.org/api/getPlaceDetails?id=187067,187067,44.377662158059,9.8826181927372,Tuscany,Bar Luciano,1.0,4f082b75e4b0ad9c24e92930,0.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=187067,Bar,Nightlife,0.0
Viale Resistenza 52/z,attraction,http://tour-pedia.org/api/getPlaceDetails?id=187172,187172,44.213608433795,9.9677364291131,Tuscany,SMART Café,4.0,515b0aafe4b03570d089d5a4,3.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=187172,Cocktail Bar,Nightlife,0.0
Piazza Ferrari,attraction,http://tour-pedia.org/api/getPlaceDetails?id=187177,187177,44.2111152707,9.9634733402408,Tuscany,Bar Cesare,1.0,5158a14fe4b0d20cd9c95c25,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=187177,Bar,Nightlife,0.53
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=187203,187203,44.207531463643,9.9699635806922,Tuscany,Bar Cesare,1.0,51cf40cd498ea1f46a8278a3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=187203,Bar,Nightlife,0.53
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=187209,187209,44.20809006717,9.9702365198703,Tuscany,Bar Sport,1.0,4db09a8d4df03036e8be305f,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=187209,Sports Bar,Nightlife,0.53
Via Rinchiosa 43,attraction,http://tour-pedia.org/api/getPlaceDetails?id=187349,187349,44.03922489,10.03821144,Tuscany,Porfirio Exclusive Cafè,1.0,4dc51e8481303adecba90e41,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=187349,Cocktail Bar,Nightlife,0.53
Via Genova 14DBIS,attraction,http://tour-pedia.org/api/getPlaceDetails?id=187358,187358,44.038626794264,10.038536467734,Tuscany,Café Samba,4.0,4e4070d57d8be0ba11bb9709,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=187358,Bar,Nightlife,0.53
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=187376,187376,44.191364,10.051404,Tuscany,Circolo ARCI dell'Alpino,3.0,4c83f87bd8086dcb20f58452,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=187376,Bar,Nightlife,0.53
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=187383,187383,44.050327,10.048858,Tuscany,Bar Europa,1.0,4e671bf745dde0f9e2481d64,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=187383,Bar,Nightlife,0.53
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=187389,187389,44.035918966227,10.044218255313,Tuscany,Ciccio Marina,4.0,4c6582379cb82d7f02ff8dd2,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=187389,Cocktail Bar,Nightlife,0.65
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=187407,187407,44.20290530533,10.061850538766,Tuscany,Vino Estremo,2.0,4c8401a247cc224b1c8c949f,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=187407,Wine Bar,Nightlife,0.65
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=187479,187479,44.024100262599,10.075797148454,Tuscany,Babylon,1.0,50355f9fe4b0dc8dfab67d15,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=187479,Cocktail Bar,Nightlife,0.65
