address,category,details,id,lat,lng,location,name,numReviews,originalId,polarity,reviews,subCategory,Sub,vader
"56A - 58 High Street,",restaurant,http://tour-pedia.org/api/getPlaceDetails?id=39111,39111,51.576218,0.02762906,London,Starbucks,4.0,4b6157baf964a52098102ae3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39111,Coffee Shop,Cafe and Drinks,-0.22
1 Paternoster Sq.,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=39152,39152,51.514575,-0.098969,London,Starbucks,10.0,4b62d706f964a520e2542ae3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39152,Coffee Shop,Cafe and Drinks,0.32
68 Victoria Rd.,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=39211,39211,51.392196898435,-0.30634045600891,London,Starbucks,6.0,4b643b02f964a52059a52ae3,3.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39211,Coffee Shop,Cafe and Drinks,0.0
"Unit 1018a, Westfield London Shopping Centre, Ariel Way",restaurant,http://tour-pedia.org/api/getPlaceDetails?id=39221,39221,51.507487057177,-0.22311687469482,London,Starbucks,20.0,4b644ab1f964a520c6a82ae3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39221,Coffee Shop,Cafe and Drinks,0.17
Kentish Town Rd,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=39286,39286,51.550498226062,-0.14061212539673,London,Bean About Town,5.0,4b668e3ef964a5201f242be3,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39286,Coffee Shop,Cafe and Drinks,0.7
"Unit 5, 17-35 Gloucester Rd",restaurant,http://tour-pedia.org/api/getPlaceDetails?id=39325,39325,51.498026657403,-0.18372366813368,London,Starbucks,10.0,4b68131cf964a52034662be3,9.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39325,Coffee Shop,Cafe and Drinks,0.64
"Unit R4016, Terminal 3 Airside",restaurant,http://tour-pedia.org/api/getPlaceDetails?id=39326,39326,51.470450512339,-0.45855045318604,London,Starbucks,19.0,4b6813daf964a5204b662be3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39326,Coffee Shop,Cafe and Drinks,0.25
"114 Muswell Hill,, Broadway",restaurant,http://tour-pedia.org/api/getPlaceDetails?id=39449,39449,51.590522676058,-0.14359474182129,London,Starbucks,4.0,4b6d7665f964a52003762ce3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39449,Coffee Shop,Cafe and Drinks,0.05
Brunel University,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=39456,39456,51.532997,-0.47352504410512,London,Costa Coffee,9.0,4b6d9179f964a5201f7d2ce3,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39456,Coffee Shop,Cafe and Drinks,0.23
"46 The Broadway,",restaurant,http://tour-pedia.org/api/getPlaceDetails?id=39474,39474,51.541001,0.0016945,London,Starbucks,10.0,4b6dc3f7f964a520cf8d2ce3,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39474,Coffee Shop,Cafe and Drinks,0.35
94A High St.,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=39495,39495,51.562772046354,0.21775245666504,London,Costa Coffee,1.0,4b6e9f3ff964a5204fc42ce3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39495,Coffee Shop,Cafe and Drinks,0.59
223-227 Borough High St,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=39561,39561,51.500728662654,-0.093598365783691,London,Starbucks,15.0,4b71575af964a520e6412de3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39561,Coffee Shop,Cafe and Drinks,0.27
"7 The Broadway, Crouch End",restaurant,http://tour-pedia.org/api/getPlaceDetails?id=39602,39602,51.578631385663,-0.12408971786499,London,Starbucks,7.0,4b72c0e7f964a520f5862de3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39602,Coffee Shop,Cafe and Drinks,0.34
"54-56 Greenwich Church St,",restaurant,http://tour-pedia.org/api/getPlaceDetails?id=39635,39635,51.48194414582,-0.0099670886993408,London,Starbucks,19.0,4b7409f8f964a520f7c42de3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39635,Coffee Shop,Cafe and Drinks,0.16
"1,3,5 Station Buildings, Raynes Park",restaurant,http://tour-pedia.org/api/getPlaceDetails?id=39666,39666,51.409541,-0.230055,London,Starbucks,7.0,4b751a23f964a520fafd2de3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39666,Coffee Shop,Cafe and Drinks,0.13
101 Eltham High Street,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=39820,39820,51.450770967184,0.053858757019043,London,Costa,11.0,4b7ab7a8f964a520e0382fe3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39820,Coffee Shop,Cafe and Drinks,0.42
High St,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=39825,39825,51.426784239734,-0.35608280352945,London,Costa Coffee,1.0,4b7ae1d9f964a52076432fe3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39825,Coffee Shop,Cafe and Drinks,0.0
Balham station,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=39913,39913,51.442501957686,-0.15350131988525,London,Puccino's Balham Station,2.0,4b7ec06af964a520d8fc2fe3,0.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39913,Coffee Shop,Cafe and Drinks,0.12
200 Hammersmith Rd.,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=39981,39981,51.493207768886,-0.22155046463013,London,Starbucks,7.0,4b811798f964a5206d9630e3,3.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=39981,Coffee Shop,Cafe and Drinks,0.41
"27 Wilton Road, Victoria",restaurant,http://tour-pedia.org/api/getPlaceDetails?id=40048,40048,51.493211,-0.14102,London,Starbucks,5.0,4b8432a5f964a520ee2631e3,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=40048,Coffee Shop,Cafe and Drinks,0.63
at Terminal 5,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=40063,40063,51.472081180813,-0.48953533172607,London,Caffè Nero,12.0,4b850a04f964a520864931e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=40063,Coffee Shop,Cafe and Drinks,0.32
216-218 Chiswick High Rd.,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=40082,40082,51.492654007364,-0.25730283816428,London,Kitchen & Pantry,27.0,4b8581f8f964a520536231e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=40082,Coffee Shop,Cafe and Drinks,0.2
"27 Victoria Street,",restaurant,http://tour-pedia.org/api/getPlaceDetails?id=40090,40090,51.498117196314,-0.1329517364502,London,Starbucks,11.0,4b8633f6f964a520968231e3,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=40090,Coffee Shop,Cafe and Drinks,0.46
5-7 Tranquil Vale,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=40295,40295,51.466280013078,0.0086259841918945,London,Starbucks,4.0,4b8f7e2ef964a520105633e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=40295,Coffee Shop,Cafe and Drinks,0.22
"Unit 79, Centrale Shopping Centre",restaurant,http://tour-pedia.org/api/getPlaceDetails?id=40297,40297,51.375954,-0.103458,London,Starbucks,8.0,4b8f99fef964a520965933e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=40297,Coffee Shop,Cafe and Drinks,0.17
"Check-in Hall, Terminal 4",restaurant,http://tour-pedia.org/api/getPlaceDetails?id=40299,40299,51.459319504833,-0.44678663460861,London,Caffè Nero,8.0,4b8f9da6f964a520105a33e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=40299,Coffee Shop,Cafe and Drinks,0.41
26-30 York Way,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=40310,40310,51.532021735508,-0.12240137375231,London,Costa Coffee,6.0,4b8fefa2f964a520996a33e3,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=40310,Coffee Shop,Cafe and Drinks,0.68
62 Uxbridge Rd.,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=40339,40339,51.50444189676,-0.21976947784424,London,Starbucks,4.0,4b91272ff964a520cea633e3,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=40339,Coffee Shop,Cafe and Drinks,0.79
